solver,instance,category,num_cities,TourLength,OptimalityGap(%),EdgeMatchRate(%),Runtime(s),Memory(B)
NearestNeighbor,Grid_91,Grid,25,2965.685424949238,16.693968029767035,61.53846153846154,0.00032096199993247865,2864
NearestNeighbor,Grid_91,Grid,25,2965.685424949238,16.693968029767035,61.53846153846154,0.00032015000033425167,2864
NearestNeighbor,Grid_91,Grid,25,2965.685424949238,16.693968029767035,61.53846153846154,0.00032020000071497634,2864
NearestNeighbor,Grid_92,Grid,36,4000.0,11.11111111111111,83.78378378378379,0.0006535459997394355,2952
NearestNeighbor,Grid_92,Grid,36,4000.0,11.11111111111111,83.78378378378379,0.0006332980001388933,2952
NearestNeighbor,Grid_92,Grid,36,4000.0,11.11111111111111,83.78378378378379,0.0006378859998221742,2952
NearestNeighbor,Grid_92,Grid,36,4000.0,11.11111111111111,83.78378378378379,0.0007019480008239043,2952
NearestNeighbor,Grid_92,Grid,36,4000.0,11.11111111111111,83.78378378378379,0.0006264250005187932,2952
NearestNeighbor,Grid_93,Grid,36,4000.0,11.11111111111111,83.78378378378379,0.0007852669996282202,2952
NearestNeighbor,Grid_93,Grid,36,4000.0,11.11111111111111,83.78378378378379,0.0007075690000419854,2952
NearestNeighbor,Grid_93,Grid,36,4000.0,11.11111111111111,83.78378378378379,0.0006605190001209849,2952
NearestNeighbor,Grid_93,Grid,36,4000.0,11.11111111111111,83.78378378378379,0.0006604800000786781,2952
NearestNeighbor,Grid_93,Grid,36,4000.0,11.11111111111111,83.78378378378379,0.0006333969995466759,2952
NearestNeighbor,Grid_94,Grid,36,4000.0,11.11111111111111,83.78378378378379,0.0007777129994792631,2952
NearestNeighbor,Grid_94,Grid,36,4000.0,11.11111111111111,83.78378378378379,0.000781499999902735,2952
NearestNeighbor,Grid_94,Grid,36,4000.0,11.11111111111111,83.78378378378379,0.0006528149997393484,2952
NearestNeighbor,Grid_94,Grid,36,4000.0,11.11111111111111,83.78378378378379,0.0006286489997364697,2952
